repository,commits,issues,pull_requests
https://github.com/chaoss/grimoirelab-perceval,201.0,19,77
https://github.com/chaoss/grimoirelab-elk,170.0,14,77
https://github.com/chaoss/grimoirelab-bestiary,176.0,3,26
https://github.com/chaoss/grimoirelab-mordred,101.0,7,44
https://github.com/chaoss/grimoirelab,70.0,18,18
https://github.com/chaoss/grimoirelab-kibiter,69.0,0,21
https://github.com/chaoss/grimoirelab-sortinghat,48.0,9,17
https://github.com/chaoss/grimoirelab-hatstall,51.0,3,14
https://github.com/chaoss/grimoirelab-perceval-mozilla,40.0,3,12
https://github.com/chaoss/grimoirelab-tutorial,36.0,7,6
https://github.com/chaoss/metrics,16.0,9,16
https://github.com/chaoss/grimoirelab-sigils,23.0,4,12
https://github.com/chaoss/grimoirelab-kingarthur,21.0,3,12
https://github.com/chaoss/governance,16.0,2,12
https://github.com/chaoss/website,13.0,15,2
https://github.com/chaoss/wg-diversity-inclusion,18.0,3,7
https://github.com/chaoss/grimoirelab-manuscripts,7.0,8,9
https://github.com/chaoss/grimoirelab-kidash,14.0,2,6
https://github.com/chaoss/grimoirelab-toolkit,15.0,1,5
https://github.com/chaoss/grimoirelab-perceval-opnfv,14.0,1,5
https://github.com/chaoss/grimoirelab-perceval-puppet,14.0,1,5
https://github.com/chaoss/whitepaper,2.0,2,4
https://github.com/chaoss/prospector,0.0,3,0
